ElapsedS; File; Object; Format; Symmetry; Rows; Columns; NonzeroEntries; FieldType; MinValue; MaxValue; Coordinate_RIB; Coordinate_CIB; Coordinate_VB; Coordinate_Bytes; CSR_Bytes; SCSR_Bytes; SCSR+_Bytes; CSC_Bytes; SCSC_Bytes; SCSC+_Bytes
0; 08blocks.mtx; Matrix; Coordinate; General; 300; 300; 592; Integer; 1; 100; 2; 2; 4; 4736; 4154; 4154; 2378; 4154; 4154; 2378
0; 130bit.mtx; Matrix; Coordinate; General; 584; 575; 6120; Pattern; 1; 1; 2; 2; 2; 36720; 25650; 25650; 13410; 25616; 25616; 13376
2; 144.mtx; Matrix; Coordinate; Symmetric; 144649; 144649; 1074393; Pattern; 1; 1; 4; 4; 2; 21487860; 13471316; 9160150; 4862578; 13471316; 9160150; 4862578
6; 2cubes_sphere.mtx; Matrix; Coordinate; Symmetric; 101492; 101492; 874378; Real; -3.92893e+09; 2.52063e+10; 4; 4; 4; 20985072; 13584084; 10110104; 10110104; 13584084; 10110104; 10110104
0; 494_bus.mtx; Matrix; Coordinate; Symmetric; 494; 494; 1080; Real; -10000; 20007.7; 2; 2; 4; 17280; 10986; 10986; 7654; 10986; 10986; 7654
1; 598a.mtx; Matrix; Coordinate; Symmetric; 110971; 110971; 741934; Pattern; 1; 1; 4; 4; 2; 14838680; 9347096; 6378860; 3411124; 9347096; 6378860; 3411124
0; 662_bus.mtx; Matrix; Coordinate; Symmetric; 662; 662; 1568; Real; -2000; 2016.13; 2; 2; 4; 25088; 16170; 16170; 11222; 16170; 16170; 11222
0; 685_bus.mtx; Matrix; Coordinate; Symmetric; 685; 685; 1967; Real; -10000; 26185.5; 2; 2; 4; 31472; 20866; 20866; 14368; 20866; 20866; 14368
1; a0nsdsil.mtx; Matrix; Coordinate; Symmetric; 80016; 80016; 200021; Real; -9.99829; 9.99978; 4; 4; 4; 4800504; 3160340; 2387140; 1322038; 3160340; 2387140; 1322038
1; a2nnsnsl.mtx; Matrix; Coordinate; Symmetric; 80016; 80016; 196115; Real; -9.99959; 1; 4; 4; 4; 4706760; 3097844; 2338486; 949598; 3097844; 2338486; 949598
0; abb313.mtx; Matrix; Coordinate; General; 313; 176; 1557; Pattern; 1; 1; 2; 2; 2; 9342; 6856; 6856; 3742; 6582; 6582; 3468
1; ACTIVSg70K.mtx; Matrix; Coordinate; Symmetric; 69999; 69999; 154313; Real; -100103; 100000; 4; 4; 4; 3703512; 2189016; 1573206; 1334579; 2189016; 1573206; 1334579
0; adjnoun.mtx; Matrix; Coordinate; Symmetric; 112; 112; 425; Pattern; 1; 1; 2; 2; 2; 5100; 3626; 3626; 1926; 3626; 3626; 1926
1; apache1.mtx; Matrix; Coordinate; Symmetric; 80800; 80800; 311492; Real; -90000; 180016; 4; 4; 4; 7475808; 4660676; 3417948; 2875764; 4660676; 3417948; 2875764
0; arc130.mtx; Matrix; Coordinate; General; 130; 130; 1282; Real; -105156; 10.5206; 2; 2; 4; 10256; 7954; 7954; 4108; 7954; 7954; 4108
0; ash219.mtx; Matrix; Coordinate; General; 219; 85; 438; Pattern; 1; 1; 2; 2; 2; 2628; 2192; 2192; 1316; 1924; 1924; 1048
0; ash292.mtx; Matrix; Coordinate; Symmetric; 292; 292; 1250; Pattern; 1; 1; 2; 2; 2; 15000; 10586; 10586; 5586; 10586; 10586; 5586
0; ash331.mtx; Matrix; Coordinate; General; 331; 104; 662; Pattern; 1; 1; 2; 2; 2; 3972; 3312; 3312; 1988; 2858; 2858; 1534
0; ash608.mtx; Matrix; Coordinate; General; 608; 188; 1216; Pattern; 1; 1; 2; 2; 2; 7296; 6082; 6082; 3650; 5242; 5242; 2810
0; ash85.mtx; Matrix; Coordinate; Symmetric; 85; 85; 304; Pattern; 1; 1; 2; 2; 2; 3648; 2604; 2604; 1388; 2604; 2604; 1388
0; ash958.mtx; Matrix; Coordinate; General; 958; 292; 1916; Pattern; 1; 1; 2; 2; 2; 11496; 9582; 9582; 5750; 8250; 8250; 4418
6; ASIC_100k.mtx; Matrix; Coordinate; General; 99340; 99340; 954163; Real; -1e+06; 1e+06; 4; 4; 4; 11449956; 8030668; 6019460; 5065297; 8030668; 6019460; 5065297
3; ASIC_100ks.mtx; Matrix; Coordinate; General; 99190; 99190; 578890; Real; -1e+06; 1e+06; 4; 4; 4; 6946680; 5027884; 3682182; 3103292; 5027884; 3682182; 3103292
0; b1_ss.mtx; Matrix; Coordinate; General; 7; 7; 15; Real; -1; 1; 2; 2; 4; 120; 106; 106; 46; 106; 106; 46
20; barrier2-1.mtx; Matrix; Coordinate; General; 113076; 113076; 3805068; Real; -7.11628e+11; 5.50144e+11; 4; 4; 4; 45660816; 30892852; 23282728; 23282728; 30892852; 23282728; 23282728
21; barrier2-10.mtx; Matrix; Coordinate; General; 115625; 115625; 3897557; Real; -7.11628e+11; 6.9897e+11; 4; 4; 4; 46770684; 31642960; 23847858; 23847858; 31642960; 23847858; 23847858
