ElapsedS; File; Object; Format; Symmetry; Rows; Columns; NonzeroEntries; FieldType; MinValue; MaxValue; Coordinate_RIB; Coordinate_CIB; Coordinate_VB; Coordinate_Bytes; CSR_Bytes; CSR_Timing; SCSR_Bytes; SCSR_Timing; SCSR+_Bytes; CSC_Bytes; SCSC_Bytes; SCSC+_Bytes
0; 08blocks.mtx; Matrix; Coordinate; General; 300; 300; 592; Integer; 1; 100; 2; 2; 4; 4736; 4154; 8; 4154; 13; 2378; 4740; 4740; 2964
0; 130bit.mtx; Matrix; Coordinate; General; 584; 575; 6120; Pattern; 1; 1; 2; 2; 2; 36720; 25650; 114; 25650; 160; 13410; 36724; 36724; 24484
1; 144.mtx; Matrix; Coordinate; Symmetric; 144649; 144649; 1074393; Pattern; 1; 1; 4; 4; 2; 21487860; 13471316; 19186; 9463052; 41424; 5165480; 21487868; 12888908; 8591336
1; 144_Dbg.mtx; Matrix; Coordinate; Symmetric; 144649; 144649; 1074393; Pattern; 1; 1; 4; 4; 2; 21487860; 13471316; 21894; 9463052; 36633; 5165480; 21487868; 12888902; 8591330
6; 2cubes_sphere.mtx; Matrix; Coordinate; Symmetric; 101492; 101492; 874378; Real; -3.92893e+09; 2.52063e+10; 4; 4; 4; 20985072; 13584084; 13058; 10289560; 31980; 10289560; 19767172; 13177862; 13177862
0; 494_bus.mtx; Matrix; Coordinate; Symmetric; 494; 494; 1080; Real; -10000; 20007.7; 2; 2; 4; 17280; 10986; 16; 10986; 34; 7654; 13330; 13330; 9998
1; 598a.mtx; Matrix; Coordinate; Symmetric; 110971; 110971; 741934; Pattern; 1; 1; 4; 4; 2; 14838680; 9347096; 12982; 6379364; 27018; 3411628; 14838688; 8901958; 5934222
0; 662_bus.mtx; Matrix; Coordinate; Symmetric; 662; 662; 1568; Real; -2000; 2016.13; 2; 2; 4; 25088; 16170; 18; 16170; 39; 11222; 19794; 19794; 14846
0; 685_bus.mtx; Matrix; Coordinate; Symmetric; 685; 685; 1967; Real; -10000; 26185.5; 2; 2; 4; 31472; 20866; 25; 20866; 52; 14368; 25994; 25994; 19496
1; a0nsdsil.mtx; Matrix; Coordinate; Symmetric; 80016; 80016; 200021; Real; -9.99829; 9.99978; 4; 4; 4; 4800504; 3160340; 41997; 2410268; 44198; 1345166; 4260416; 2840286; 1775184
1; a2nnsnsl.mtx; Matrix; Coordinate; Symmetric; 80016; 80016; 196115; Real; -9.99959; 1; 4; 4; 4; 4706760; 3097844; 38127; 2363396; 48395; 974508; 4166672; 2777790; 1388902
0; abb313.mtx; Matrix; Coordinate; General; 313; 176; 1557; Pattern; 1; 1; 2; 2; 2; 9342; 6856; 30; 6856; 21; 3742; 9342; 9342; 6228
1; ACTIVSg70K.mtx; Matrix; Coordinate; Symmetric; 69999; 69999; 154313; Real; -100103; 100000; 4; 4; 4; 3703512; 2189016; 1781; 1711338; 3605; 1472711; 2863528; 1908988; 1670361
0; adjnoun.mtx; Matrix; Coordinate; Symmetric; 112; 112; 425; Pattern; 1; 1; 2; 2; 2; 5100; 3626; 13; 3626; 22; 1926; 5098; 5098; 3398
2; apache1.mtx; Matrix; Coordinate; Symmetric; 80800; 80800; 311492; Real; -90000; 180016; 4; 4; 4; 7475808; 4660676; 2515; 3547398; 7018; 3005214; 6506212; 4337482; 3795298
0; arc130.mtx; Matrix; Coordinate; General; 130; 130; 1282; Real; -105156; 10.5206; 2; 2; 4; 10256; 7954; 63; 7954; 105; 4108; 10258; 10258; 6412
0; ash219.mtx; Matrix; Coordinate; General; 219; 85; 438; Pattern; 1; 1; 2; 2; 2; 2628; 2192; 3; 2192; 5; 1316; 2562; 2562; 1686
0; ash292.mtx; Matrix; Coordinate; Symmetric; 292; 292; 1250; Pattern; 1; 1; 2; 2; 2; 15000; 10586; 31; 10586; 61; 5586; 14418; 14418; 9418
0; ash331.mtx; Matrix; Coordinate; General; 331; 104; 662; Pattern; 1; 1; 2; 2; 2; 3972; 3312; 2; 3312; 7; 1988; 3922; 3922; 2598
0; ash608.mtx; Matrix; Coordinate; General; 608; 188; 1216; Pattern; 1; 1; 2; 2; 2; 7296; 6082; 4; 6082; 12; 3650; 7214; 7214; 4782
0; ash85.mtx; Matrix; Coordinate; Symmetric; 85; 85; 304; Pattern; 1; 1; 2; 2; 2; 3648; 2604; 6; 2604; 17; 1388; 3480; 3480; 2264
0; ash958.mtx; Matrix; Coordinate; General; 958; 292; 1916; Pattern; 1; 1; 2; 2; 2; 11496; 9582; 10; 9582; 30; 5750; 11368; 11368; 7536
15; ASIC_100k.mtx; Matrix; Coordinate; General; 99340; 99340; 954163; Real; -1e+06; 1e+06; 4; 4; 4; 11449956; 8030668; 4775977; 6122346; 2231874; 5168183; 11449956; 7626852; 6672689
