File, Rows, Columns, NonzeroEntries, Coordinate_Bytes, CSR_Bytes, SCSR_Bytes: 
08blocks.mtx, 300, 300, 592, 11840, 5940, 4156
130bit.mtx, 584, 575, 6120, 110160, 39060, 25652
494_bus.mtx, 494, 494, 1080, 21600, 10620, 7472
662_bus.mtx, 662, 662, 1568, 31360, 15196, 10736
685_bus.mtx, 685, 685, 1967, 39340, 18480, 13176
abb313.mtx, 313, 176, 1557, 28026, 10598, 6858
adjnoun.mtx, 112, 112, 425, 7650, 2990, 1918
arc130.mtx, 130, 130, 1282, 25640, 10780, 7956
ash219.mtx, 219, 85, 438, 7884, 3508, 2194
ash292.mtx, 292, 292, 1250, 22500, 8672, 5588
ash331.mtx, 331, 104, 662, 11916, 5300, 3314
ash608.mtx, 608, 188, 1216, 21888, 9732, 6084
ash85.mtx, 85, 85, 304, 5472, 2168, 1390
ash958.mtx, 958, 292, 1916, 34488, 15332, 9584
b1_ss.mtx, 7, 7, 15, 300, 152, 108
bcspwr01.mtx, 39, 39, 85, 1530, 670, 422
bcspwr02.mtx, 49, 49, 108, 1944, 848, 534
bcspwr03.mtx, 118, 118, 297, 5346, 2258, 1428
bcspwr04.mtx, 274, 274, 943, 16974, 6758, 4324
bcspwr05.mtx, 443, 443, 1033, 18594, 7974, 5022
bcsstk01.mtx, 48, 48, 224, 4480, 1988, 1444
bcsstk02.mtx, 66, 66, 2211, 44220, 17956, 13402
bcsstk03.mtx, 112, 112, 376, 7520, 3460, 2484
bcsstk04.mtx, 132, 132, 1890, 37800, 15652, 11608
bcsstk05.mtx, 153, 153, 1288, 25760, 10920, 8038
bcsstk06.mtx, 420, 420, 4140, 82800, 34804, 25684
bcsstk07.mtx, 420, 420, 4140, 82800, 34804, 25684
bcsstk19.mtx, 817, 817, 3835, 76700, 33952, 24648
bcsstk20.mtx, 485, 485, 1810, 36200, 16424, 11834
bcsstk22.mtx, 138, 138, 417, 8340, 3892, 2782
bcsstk34.mtx, 588, 588, 11003, 220060, 90380, 67198
bcsstm01.mtx, 48, 48, 48, 960, 580, 388
bcsstm02.mtx, 66, 66, 66, 1320, 796, 532
bcsstm03.mtx, 112, 112, 112, 2240, 1348, 900
bcsstm04.mtx, 132, 132, 132, 2640, 1588, 1060
bcsstm05.mtx, 153, 153, 153, 3060, 1840, 1228
bcsstm06.mtx, 420, 420, 420, 8400, 5044, 3364
bcsstm07.mtx, 420, 420, 3836, 76720, 32372, 23860
bcsstm19.mtx, 817, 817, 817, 16340, 9808, 6540
bcsstm20.mtx, 485, 485, 485, 9700, 5824, 3884
bcsstm22.mtx, 138, 138, 138, 2760, 1660, 1108
bcsstm34.mtx, 588, 588, 12429, 248580, 101788, 75754
beacxc.mtx, 497, 506, 50409, 1008180, 405072, 303356
beaflw.mtx, 497, 507, 53403, 1068060, 429196, 321406
beause.mtx, 497, 507, 44551, 891020, 358380, 268294
bfwa398.mtx, 398, 398, 3678, 73560, 31020, 22868
bfwa62.mtx, 62, 62, 450, 9000, 3852, 2828
bfwa782.mtx, 782, 782, 7514, 150280, 63244, 46652
bfwb398.mtx, 398, 398, 1654, 33080, 14828, 10724
bfwb62.mtx, 62, 62, 202, 4040, 1868, 1340
bfwb782.mtx, 782, 782, 3382, 67640, 30188, 21860
bibd_11_5.mtx, 55, 462, 4620, 83160, 27944, 18594
bibd_12_4.mtx, 66, 495, 2970, 53460, 18088, 12016
bibd_12_5.mtx, 66, 792, 7920, 142560, 47788, 31816
bibd_15_3.mtx, 105, 455, 1365, 24570, 8614, 5674
bibd_17_3.mtx, 136, 680, 2040, 36720, 12788, 8436
bibd_9_3.mtx, 36, 84, 252, 4536, 1660, 1084
bibd_9_5.mtx, 36, 126, 1260, 22680, 7708, 5116
bp_0.mtx, 822, 822, 3276, 65520, 29500, 21304
bp_1000.mtx, 822, 822, 4661, 93220, 40580, 29614
bp_1200.mtx, 822, 822, 4726, 94520, 41100, 30004
bp_1400.mtx, 822, 822, 4790, 95800, 41612, 30388
bp_1600.mtx, 822, 822, 4841, 96820, 42020, 30694
bp_200.mtx, 822, 822, 3802, 76040, 33708, 24460
bp_400.mtx, 822, 822, 4028, 80560, 35516, 25816
bp_600.mtx, 822, 822, 4172, 83440, 36668, 26680
bp_800.mtx, 822, 822, 4534, 90680, 39564, 28852
bwm200.mtx, 200, 200, 796, 15920, 7172, 5180
cage.mtx, 366, 366, 2562, 46116, 16840, 10980
cage3.mtx, 5, 5, 19, 380, 176, 128
cage4.mtx, 9, 9, 49, 980, 432, 316
cage5.mtx, 37, 37, 233, 4660, 2016, 1476
cage6.mtx, 93, 93, 785, 15700, 6656, 4900
cage7.mtx, 340, 340, 3084, 61680, 26036, 19188
CAG_mat364.mtx, 364, 364, 13585, 271700, 110140, 82242
CAG_mat72.mtx, 72, 72, 1012, 20240, 8388, 6220
can_144.mtx, 144, 144, 720, 12960, 4900, 3172
can_161.mtx, 161, 161, 769, 13842, 5262, 3402
can_187.mtx, 187, 187, 839, 15102, 5786, 3734
can_229.mtx, 229, 229, 1003, 18054, 6938, 4474
can_24.mtx, 24, 24, 92, 1656, 652, 420
can_256.mtx, 256, 256, 1586, 28548, 10544, 6860
can_268.mtx, 268, 268, 1675, 30150, 11126, 7240
can_292.mtx, 292, 292, 1416, 25488, 9668, 6252
can_445.mtx, 445, 445, 2127, 38286, 14546, 9402
can_61.mtx, 61, 61, 309, 5562, 2102, 1362
can_62.mtx, 62, 62, 140, 2520, 1092, 688
can_634.mtx, 634, 634, 3931, 70758, 26126, 16996
can_715.mtx, 715, 715, 3690, 66420, 25004, 16194
can_73.mtx, 73, 73, 225, 4050, 1646, 1050
can_838.mtx, 838, 838, 5424, 97632, 35900, 23376
can_96.mtx, 96, 96, 432, 7776, 2980, 1924
cat_ears_2_1.mtx, 85, 85, 254, 4572, 1868, 1190
